file,kind,bucket,incoming_import_refs,imported_by_sample,reason
ou25_variant_tests.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
over25_deploy_policy.json,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
over25_from_ou25_policy.json,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
overlay_candidate_registry.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
pack_builder.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
parse_rulebook_ftr_sweeps.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
patch_merge_add_fd_odds.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
patch_merge_add_legacy_derived.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
patch_overrides_missing_teams.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
player_prop_models.py,python,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
player_usage_profiles.py,python,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
poisson_source_audit.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
pre constants.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
prediction_overlay copy.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
prediction_overlay.py,python,keep_commit_candidate,48,-recover_rebuilt_.py; side_meta_backtest.py; bookie_allmarkets.py; 94%_train_ftr_with_team_stats 2.py; margin_sweep_ftr.py; train_ftr_with_team_stats.py; run_fast_ftr_predictions.py; top50_check.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
prediction_report.py,python,keep_commit_candidate,16,-recover_rebuilt_.py; 94%_train_ftr_with_team_stats 2.py; train_ftr_with_team_stats.py; btts_over25_predict.py; 94%_train_ftr_with_team_stats.py; _baseline_ftr_pipeline.py; BAWA-PORTO-recovery-2025-08-24-2308/94%_train_ftr_with_team_stats 2.py; BAWA-PORTO-recovery-2025-08-24-2308/train_ftr_with_team_stats.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
probe_goal_model.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
promote_shadow_goal_ensembles_to_prod.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
pyproject.toml,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
ratings_publish_sources.sample.json,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
README.ini,config,needs_manual_review_config,0,,Config-like file not in current keep list; inspect references before tracking or archiving.
rebuild_all_merged.sh,shell,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
report_constants_impact.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
report_ftr_engine_compare.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
report_ftr_feature_diff.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
retrain-over25_expanded.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
retrain_all.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
retrain_btts_expanded.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
retrain_over25_expanded.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
retrain_secondary_goal_markets_all.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
retrain_secondary_goal_markets_all.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
rollback_shadow_goal_ensembles.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
run_audits_feb_sandbox.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
run_bypass_bundle.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
run_fast_ftr_predictions.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
run_frozen_specialist_walkforward.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
run_frozen_walkforward.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
run_fts_frozen_sweeps.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
run_ge2_frozen_sweeps.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
run_ou25_frozen_sweeps.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
run_ou25_frozen_sweeps.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
run_ou25_walkforward.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
run_out_of_sample_test.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
run_pre_post_bypass_compare.py,python,keep_or_review_imported,1,run_pre_post_overlay_compare.py,Imported by 1 local Python file(s); do not archive until owner/purpose is confirmed.
run_pre_post_overlay_compare.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
run_rulebook_ftr_sweeps.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
run_slip_walkforward_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
run_walkforward_feb_sandbox.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
run_walkforward_windows.py,python,keep_or_review_imported,2,run_walkforward_windows_research_harness.py; backfill_walkforward_exact_scores.py,Imported by 2 local Python file(s); do not archive until owner/purpose is confirmed.
run_walkforward_windows_research_harness.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
run_weekend_portfolio.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
run_window.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
run_wtn_frozen_sweeps.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
score_public_match_cards.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
season_goal_tracker_runner.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
season_leave_one_out.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
season_leave_one_out_2022_2023.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
season_leave_one_out_2023_2024.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
season_leave_one_out__2024_2025.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
season_public_match_cards_runner.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
season_sim.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
seasonal_market_ledger.py,python,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
segment_stats.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
segment_stats_full.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
shadow_goal_rebuild_plan.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
shadow_goal_rebuild_runner.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
side_meta_backtest.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
side_prob_models.py,python,keep_or_review_imported,10,"-recover_rebuilt_.py; weekend_bets.py; _baseline_ftr_pipeline.py; prediction_overlay.py; prediction_overlay copy.py; BAWA-PORTO-recovery-2025-08-24-2308/00_baseline_ftr_pipeline.py; MAIN BACKUP BACKUPS/_baseline_ftr_pipeline - august 24, 25 9pm.py; MAIN BACKUP BACKUPS/_baseline_ftr_pipeline.py",Imported by 10 local Python file(s); do not archive until owner/purpose is confirmed.
signal_layers.py,python,keep_commit_candidate,7,bookie_allmarkets.py; bookie_allmarkets_research_no_recent_btts_regime.py; _baseline_ftr_pipeline.py; bookie_allmarkets_research_pre_hybrid_modelstore.py; prediction_overlay.py; v2_window_signals.py; backup_pre_rebuild_2026-03-16/bookie_allmarkets.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
slip_reconstruct.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
slip_score_report.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
small test.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
specialist_defence_stability_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
specialist_market_backtest_summary.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
specialist_market_report.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
specialist_threshold_sweep.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
streaks_module.py,python,keep_commit_candidate,10,bookie_allmarkets.py; bookie_allmarkets_research_no_recent_btts_regime.py; weekend_smoke_test.py; patch_merge_add_streaks.py; build_merged.py; backtest_ftr_consensus.py; _baseline_ftr_pipeline.py; bookie_allmarkets_research_pre_hybrid_modelstore.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
team_rating_engine.py,python,keep_commit_candidate,1,fixture_lineup_intelligence_engine.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
test_cs_market_bucket_feature_lift.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
test_fullgrid_cs_market_bucket_feature_lift.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
test_fullgrid_cs_market_shape_feature_li.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
test_ou25_cooperative_context_lift.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
test_snapshot_proxy_ablation_runner.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
test_snapshot_proxy_feature_lift.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
test_team_snapshot_feature_families.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
tests:test_no_leak.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
tests:test_poisson_cutoff.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
threshold_calibration.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
tier_audit.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
top50_check.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
train_draw_classifier .py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
train_draw_classifier.py,python,keep_or_review_imported,4,-recover_rebuilt_.py; _baseline_ftr_pipeline.py; MAIN BACKUP BACKUPS/_baseline_ftr_pipeline.py; BAWA-PORTO-recovery-2025-08-24-2308/ModelStore/England_Premier_League/_baseline_ftr_pipeline.py,Imported by 4 local Python file(s); do not archive until owner/purpose is confirmed.
train_ftr_with_team_stats.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
train_hybrid_catboost.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
train_hybrid_goal_mass.py,python,keep_or_review_imported,1,batch_run_hybrid_upstream_pipeline.py,Imported by 1 local Python file(s); do not archive until owner/purpose is confirmed.
train_hybrid_ou25_tuned.py,python,keep_or_review_imported,1,batch_run_hybrid_upstream_pipeline.py,Imported by 1 local Python file(s); do not archive until owner/purpose is confirmed.
train_hybrid_side_markets.py,python,keep_or_review_imported,1,batch_run_hybrid_upstream_pipeline.py,Imported by 1 local Python file(s); do not archive until owner/purpose is confirmed.
train_hybrid_xgb.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
train_investor_leagues_v2.py,python,keep_or_review_imported,3,build_ftr_xgb_hyperparam_sweep.py; build_ftr_apples_to_apples_eval.py; build_ftr_xgb_feature_pruning_audit.py,Imported by 3 local Python file(s); do not archive until owner/purpose is confirmed.
train_markets.py,python,keep_or_review_imported,7,bookie_allmarkets.py; bookie_allmarkets_research_no_recent_btts_regime.py; bookie_allmarkets_research_pre_hybrid_modelstore.py; threshold_calibration.py; backup_pre_rebuild_2026-03-16/bookie_allmarkets.py; BAWA-PORTO-recovery-2025-08-24-2308/threshold_calibration.py; scripts/run_world_cup_trainer_native_research.py,Imported by 7 local Python file(s); do not archive until owner/purpose is confirmed.
train_poison_leg_model.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
travel_fatigue.py,python,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
uefa_context.py,python,keep_commit_candidate,4,bookie_allmarkets.py; bookie_allmarkets_research_no_recent_btts_regime.py; bookie_allmarkets_research_pre_hybrid_modelstore.py; backup_pre_rebuild_2026-03-16/bookie_allmarkets.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
under25_btts_no_support_allowlist.json,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
Untitled-2.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
v2_window_signals.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
walk_forward_runner.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
walkforward_cs_bucket_ablation.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
walkforward_cs_bucket_promotion_test.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
walkforward_fullgrid_cs_bucket_promotion.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
weather_backfill_audit.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
weather_data.py,python,keep_commit_candidate,2,weather_backfill_audit.py; fill_stadium_registry_coords.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
weekend_bets.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
weekend_rerun_matrix.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
weekend_smoke_test.py,python,keep_or_review_imported,2,meta_builder.py; weekend_bets.py,Imported by 2 local Python file(s); do not archive until owner/purpose is confirmed.
weekend_snapshot_board_dashboard.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
weekend_snapshot_support_board.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
weekend_snapshot_support_board_all_leagu.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
weekend_snapshot_support_board_all_leagues.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
